Date,Time,Open,High,Low,Close
2021/12/14,09:15:00,17646,17650,17610,17618
2021/12/14,09:30:00,17619,17693,17611,17665
2021/12/14,09:45:00,17666,17684,17656,17678
2021/12/14,10:00:00,17677,17682,17643,17650
2021/12/14,10:15:00,17651,17653,17615,17615
2021/12/14,10:30:00,17615,17632,17603,17619
2021/12/14,10:45:00,17618,17622,17583,17603
2021/12/14,11:00:00,17603,17629,17596,17624
2021/12/14,11:15:00,17625,17650,17618,17629
2021/12/14,11:30:00,17628,17638,17602,17610
2021/12/14,11:45:00,17610,17619,17605,17615
2021/12/14,12:00:00,17615,17625,17586,17586
2021/12/14,12:15:00,17586,17608,17584,17594
2021/12/14,12:30:00,17595,17608,17588,17607
2021/12/14,12:45:00,17607,17612,17591,17602
2021/12/14,13:00:00,17602,17618,17598,17605
2021/12/14,13:15:00,17606,17607,17565,17598
2021/12/14,13:30:00,17598,17607,17588,17605
2021/12/15,08:45:00,17588,17595,17563,17568
2021/12/15,09:00:00,17569,17608,17560,17587
2021/12/15,09:15:00,17588,17592,17542,17550
2021/12/15,09:30:00,17550,17615,17536,17610
2021/12/15,09:45:00,17611,17637,17606,17627
2021/12/15,10:00:00,17629,17640,17615,17625
2021/12/15,10:15:00,17625,17634,17607,17622
2021/12/15,10:30:00,17623,17628,17595,17599
2021/12/15,10:45:00,17600,17634,17593,17632
2021/12/15,11:00:00,17632,17649,17632,17641
2021/12/15,11:15:00,17641,17648,17633,17639
2021/12/15,11:30:00,17639,17662,17636,17657
2021/12/15,11:45:00,17658,17665,17646,17649
2021/12/15,12:00:00,17648,17653,17633,17653
2021/12/15,12:15:00,17653,17666,17646,17647
2021/12/15,12:30:00,17646,17648,17621,17622
2021/12/15,12:45:00,17623,17644,17614,17634
2021/12/15,13:00:00,17634,17642,17621,17628
2021/12/15,13:15:00,17628,17631,17625,17630
2021/12/16,08:45:00,17765,17777,17738,17742
2021/12/16,09:00:00,17743,17765,17719,17722
2021/12/16,09:15:00,17722,17729,17698,17715
2021/12/16,09:30:00,17714,17723,17685,17698
2021/12/16,09:45:00,17698,17700,17675,17690
2021/12/16,10:00:00,17691,17718,17671,17688
2021/12/16,10:15:00,17688,17732,17686,17729
2021/12/16,10:30:00,17729,17743,17722,17736
2021/12/16,10:45:00,17737,17758,17734,17746
2021/12/16,11:00:00,17746,17762,17738,17740
2021/12/16,11:15:00,17739,17750,17729,17730
2021/12/16,11:30:00,17730,17744,17727,17734
2021/12/16,11:45:00,17736,17748,17729,17741
2021/12/16,12:00:00,17741,17747,17735,17741
2021/12/16,12:15:00,17742,17743,17725,17727
2021/12/16,12:30:00,17727,17740,17727,17734
2021/12/16,12:45:00,17735,17795,17731,17794
2021/12/16,13:00:00,17794,17796,17778,17782
2021/12/16,13:15:00,17783,17792,17776,17790
2021/12/16,13:30:00,17790,17809,17786,17804
2021/12/17,08:45:00,17716,17738,17710,17727
2021/12/17,09:00:00,17727,17762,17721,17757
2021/12/17,09:15:00,17758,17784,17754,17769
2021/12/17,09:30:00,17769,17779,17748,17769
2021/12/17,09:45:00,17770,17784,17765,17778
2021/12/17,10:00:00,17776,17788,17759,17780
2021/12/17,10:15:00,17780,17792,17773,17787
2021/12/17,10:30:00,17787,17798,17777,17782
2021/12/17,10:45:00,17782,17784,17765,17778
2021/12/17,11:00:00,17777,17778,17739,17745
2021/12/17,11:15:00,17744,17762,17733,17760
2021/12/17,11:30:00,17760,17761,17723,17739
2021/12/17,11:45:00,17737,17746,17728,17736
2021/12/17,12:00:00,17737,17738,17703,17710
2021/12/17,12:15:00,17710,17727,17704,17720
2021/12/17,12:30:00,17721,17754,17720,17750
2021/12/17,12:45:00,17751,17771,17740,17766
2021/12/17,13:00:00,17767,17776,17755,17756
2021/12/17,13:15:00,17756,17775,17745,17772
2021/12/17,13:30:00,17772,17788,17769,17786
2021/12/20,08:45:00,17720,17724,17653,17709
2021/12/20,09:00:00,17709,17726,17693,17718
2021/12/20,09:15:00,17718,17741,17703,17735
2021/12/20,09:30:00,17735,17748,17715,17720
2021/12/20,09:45:00,17720,17746,17681,17682
2021/12/20,10:00:00,17682,17682,17615,17635
2021/12/20,10:15:00,17636,17649,17626,17637
2021/12/20,10:30:00,17637,17645,17597,17606
2021/12/20,10:45:00,17607,17609,17578,17591
2021/12/20,11:00:00,17591,17602,17564,17595
2021/12/20,11:15:00,17594,17602,17578,17590
2021/12/20,11:30:00,17590,17600,17577,17585
2021/12/20,11:45:00,17586,17594,17578,17584
2021/12/20,12:00:00,17585,17612,17584,17610
2021/12/20,12:15:00,17612,17640,17610,17629
2021/12/20,12:30:00,17629,17638,17620,17622
2021/12/20,12:45:00,17622,17646,17617,17628
2021/12/20,13:00:00,17628,17634,17611,17633
2021/12/20,13:15:00,17633,17645,17603,17606
2021/12/20,13:30:00,17605,17613,17577,17580
2021/12/21,08:45:00,17660,17680,17647,17656
2021/12/21,09:00:00,17657,17672,17639,17661
2021/12/21,09:15:00,17660,17662,17624,17633
2021/12/21,09:30:00,17633,17730,17631,17723
2021/12/21,09:45:00,17721,17738,17710,17726
2021/12/21,10:00:00,17725,17765,17723,17758
2021/12/21,10:15:00,17758,17773,17754,17764
2021/12/21,10:30:00,17762,17765,17748,17752
2021/12/21,10:45:00,17751,17767,17750,17754
2021/12/21,11:00:00,17755,17776,17752,17772
2021/12/21,11:15:00,17772,17785,17771,17782
2021/12/21,11:30:00,17781,17783,17771,17777
2021/12/21,11:45:00,17779,17782,17773,17778
2021/12/21,12:00:00,17779,17795,17776,17794
2021/12/21,12:15:00,17794,17808,17787,17807
2021/12/21,12:30:00,17807,17824,17803,17820
2021/12/21,12:45:00,17820,17829,17815,17824
2021/12/21,13:00:00,17824,17829,17816,17819
2021/12/21,13:15:00,17819,17820,17803,17805
2021/12/21,13:30:00,17805,17808,17791,17796
2021/12/22,08:45:00,17847,17852,17814,17822
2021/12/22,09:00:00,17822,17828,17808,17810
2021/12/22,09:15:00,17810,17828,17803,17815
2021/12/22,09:30:00,17816,17834,17798,17808
2021/12/22,09:45:00,17808,17822,17802,17811
2021/12/22,10:00:00,17811,17821,17795,17808
2021/12/22,10:15:00,17808,17815,17792,17802
2021/12/22,10:30:00,17802,17809,17793,17799
2021/12/22,10:45:00,17800,17803,17783,17792
2021/12/22,11:00:00,17792,17814,17786,17814
2021/12/22,11:15:00,17813,17830,17809,17825
2021/12/22,11:30:00,17825,17828,17817,17824
2021/12/22,11:45:00,17824,17827,17815,17820
2021/12/22,12:00:00,17818,17822,17811,17811
2021/12/22,12:15:00,17811,17819,17804,17804
2021/12/22,12:30:00,17804,17807,17797,17805
2021/12/22,12:45:00,17804,17813,17802,17810
2021/12/22,13:00:00,17810,17817,17802,17810
2021/12/22,13:15:00,17809,17837,17802,17831
2021/12/22,13:30:00,17832,17835,17828,17833
2021/12/23,08:45:00,17935,17948,17928,17936
2021/12/23,09:00:00,17935,17941,17923,17934
2021/12/23,09:15:00,17933,17983,17906,17971
2021/12/23,09:30:00,17969,17972,17903,17926
2021/12/23,09:45:00,17927,17965,17923,17950
2021/12/23,10:00:00,17950,17968,17948,17959
2021/12/23,10:15:00,17961,17966,17916,17925
2021/12/23,10:30:00,17924,17949,17921,17933
2021/12/23,10:45:00,17933,17943,17925,17940
2021/12/23,11:00:00,17940,17942,17925,17936
2021/12/23,11:15:00,17936,17940,17929,17939
2021/12/23,11:30:00,17939,17946,17917,17926
2021/12/23,11:45:00,17924,17929,17915,17926
2021/12/23,12:00:00,17925,17938,17917,17932
2021/12/23,12:15:00,17932,17939,17930,17930
2021/12/23,12:30:00,17930,17942,17929,17941
2021/12/23,12:45:00,17942,17943,17924,17929
2021/12/23,13:00:00,17929,17938,17926,17929
2021/12/23,13:15:00,17928,17942,17924,17940
2021/12/23,13:30:00,17940,17956,17935,17954
2021/12/24,08:45:00,18014,18020,17994,18007
2021/12/24,09:00:00,18005,18018,17990,17998
2021/12/24,09:15:00,17998,18010,17993,18003
2021/12/24,09:30:00,18002,18035,17998,18029
2021/12/24,09:45:00,18030,18034,18011,18019
2021/12/24,10:00:00,18018,18025,18012,18017
2021/12/24,10:15:00,18018,18024,18008,18017
2021/12/24,10:30:00,18017,18025,18012,18018
2021/12/24,10:45:00,18018,18022,17975,17999
2021/12/24,11:00:00,17999,17999,17988,17995
2021/12/24,11:15:00,17995,18007,17994,18005
2021/12/24,11:30:00,18006,18010,17994,17997
2021/12/24,11:45:00,17998,18003,17993,18001
2021/12/24,12:00:00,18002,18004,17995,18000
2021/12/24,12:15:00,18000,18003,17997,17998
2021/12/24,12:30:00,17999,17999,17986,17988
2021/12/24,12:45:00,17988,17988,17958,17966
2021/12/24,13:00:00,17966,17978,17963,17972
2021/12/24,13:15:00,17972,17975,17946,17964
2021/12/24,13:30:00,17964,17967,17954,17958
2021/12/27,08:45:00,17982,18002,17967,17988
2021/12/27,09:00:00,17987,17999,17975,17995
2021/12/27,09:15:00,17995,18041,17988,18031
2021/12/27,09:30:00,18032,18068,18028,18064
2021/12/27,09:45:00,18064,18080,18061,18070
2021/12/27,10:00:00,18071,18077,18058,18073
2021/12/27,10:15:00,18073,18085,18069,18079
2021/12/27,10:30:00,18079,18099,18078,18090
2021/12/27,10:45:00,18090,18094,18081,18089
2021/12/27,11:00:00,18088,18095,18088,18090
2021/12/27,11:15:00,18091,18093,18080,18086
2021/12/27,11:30:00,18087,18090,18070,18077
2021/12/27,11:45:00,18078,18086,18074,18083
2021/12/27,12:00:00,18084,18089,18076,18084
2021/12/27,12:15:00,18084,18085,18074,18078
2021/12/27,12:30:00,18079,18095,18077,18077
2021/12/27,12:45:00,18078,18082,18072,18078
2021/12/27,13:00:00,18078,18086,18064,18083
2021/12/27,13:15:00,18084,18086,18066,18071
2021/12/27,13:30:00,18070,18074,18056,18068
2021/12/28,08:45:00,18115,18131,18105,18126
2021/12/28,09:00:00,18125,18147,18113,18145
2021/12/28,09:15:00,18145,18148,18113,18132
2021/12/28,09:30:00,18132,18141,18122,18137
2021/12/28,09:45:00,18137,18159,18126,18135
2021/12/28,10:00:00,18136,18157,18136,18152
2021/12/28,10:15:00,18154,18157,18145,18149
2021/12/28,10:30:00,18150,18150,18140,18144
2021/12/28,10:45:00,18144,18148,18131,18133
2021/12/28,11:00:00,18134,18143,18131,18134
2021/12/28,11:15:00,18135,18146,18126,18144
2021/12/28,11:30:00,18144,18156,18143,18151
2021/12/28,11:45:00,18151,18168,18151,18166
2021/12/28,12:00:00,18166,18182,18164,18179
2021/12/28,12:15:00,18179,18191,18178,18185
2021/12/28,12:30:00,18186,18194,18181,18191
2021/12/28,12:45:00,18190,18195,18184,18186
2021/12/28,13:00:00,18187,18191,18178,18187
2021/12/28,13:15:00,18187,18194,18181,18194
2021/12/28,13:30:00,18193,18209,18190,18207
2021/12/29,08:45:00,18195,18229,18193,18226
2021/12/29,09:00:00,18224,18243,18217,18229
2021/12/29,09:15:00,18229,18237,18210,18230
2021/12/29,09:30:00,18229,18231,18191,18204
2021/12/29,09:45:00,18206,18215,18192,18192
2021/12/29,10:00:00,18192,18206,18188,18197
2021/12/29,10:15:00,18196,18215,18192,18211
2021/12/29,10:30:00,18213,18230,18211,18225
2021/12/29,10:45:00,18225,18245,18220,18230
2021/12/29,11:00:00,18231,18241,18225,18231
2021/12/29,11:15:00,18231,18233,18221,18223
2021/12/29,11:30:00,18223,18233,18220,18233
2021/12/29,11:45:00,18232,18243,18229,18238
2021/12/29,12:00:00,18237,18239,18231,18234
2021/12/29,12:15:00,18233,18255,18232,18253
2021/12/29,12:30:00,18253,18268,18253,18263
2021/12/29,12:45:00,18264,18289,18259,18280
2021/12/29,13:00:00,18280,18287,18271,18273
2021/12/29,13:15:00,18274,18278,18262,18265
2021/12/29,13:30:00,18264,18278,18256,18276
2021/12/30,08:45:00,18242,18264,18235,18261
2021/12/30,09:00:00,18260,18263,18241,18241
2021/12/30,09:15:00,18241,18254,18215,18241
2021/12/30,09:30:00,18242,18260,18234,18256
2021/12/30,09:45:00,18256,18265,18246,18255
2021/12/30,10:00:00,18254,18259,18236,18238
2021/12/30,10:15:00,18238,18243,18222,18239
2021/12/30,10:30:00,18240,18242,18210,18221
2021/12/30,10:45:00,18221,18222,18198,18212
2021/12/30,11:00:00,18212,18218,18177,18193
2021/12/30,11:15:00,18193,18208,18188,18198
2021/12/30,11:30:00,18199,18205,18192,18200
2021/12/30,11:45:00,18199,18208,18197,18203
2021/12/30,12:00:00,18202,18224,18201,18211
2021/12/30,12:15:00,18210,18219,18208,18214
2021/12/30,12:30:00,18213,18224,18211,18220
2021/12/30,12:45:00,18222,18233,18209,18214
2021/12/30,13:00:00,18214,18238,18213,18233
2021/12/30,13:15:00,18232,18235,18205,18216
2021/12/30,13:30:00,18217,18217,18197,18212
2022/1/3,08:45:00,18288,18339,18281,18334
2022/1/3,09:00:00,18332,18367,18323,18366
2022/1/3,09:15:00,18367,18389,18354,18387
2022/1/3,09:30:00,18387,18388,18261,18277
2022/1/3,09:45:00,18277,18284,18259,18263
2022/1/3,10:00:00,18262,18282,18254,18273
2022/1/3,10:15:00,18274,18282,18261,18273
2022/1/3,10:30:00,18273,18287,18256,18277
2022/1/3,10:45:00,18277,18288,18264,18268
2022/1/3,11:00:00,18266,18275,18223,18226
2022/1/3,11:15:00,18226,18233,18206,18223
2022/1/3,11:30:00,18223,18224,18203,18222
2022/1/3,11:45:00,18221,18229,18216,18227
2022/1/3,12:00:00,18227,18247,18227,18239
2022/1/3,12:15:00,18239,18249,18234,18246
2022/1/3,12:30:00,18246,18256,18241,18252
2022/1/3,12:45:00,18253,18269,18242,18264
2022/1/3,13:00:00,18264,18283,18257,18275
2022/1/3,13:15:00,18276,18280,18246,18258
2022/1/3,13:30:00,18258,18276,18251,18273
2022/1/4,08:45:00,18361,18392,18359,18389
2022/1/4,09:00:00,18387,18438,18384,18432
2022/1/4,09:15:00,18433,18482,18427,18482
2022/1/4,09:30:00,18482,18497,18436,18460
2022/1/4,09:45:00,18460,18476,18426,18431
